Order_ID,Distributor_ID,Product_ID,Order_Date,Quantity_Ordered,Discount%_Applied,Unit_Price
B2B000086,D0033,P0035,22-01-2024,18,0.03,468.6652
B2B000087,D0095,P0018,24-04-2024,80,0.06,251.1022
B2B000088,D0040,P0012,14-12-2023,44,0.13,422.1762
B2B000089,D0032,P0046,07-05-2024,97,0.14,287.7904
B2B000090,D0061,P0046,23-09-2023,75,0.04,321.2544
B2B000091,D0082,P0006,19-12-2023,30,0.18,70.8808
B2B000092,D0093,P0022,16-01-2024,83,0.09,71.2985
B2B000093,D0011,P0032,08-03-2024,81,0.1,84.204
B2B000094,D0056,P0024,26-06-2023,34,0.02,185.7296
B2B000095,D0091,P0004,06-06-2023,53,0.04,291.2064
B2B000096,D0087,P0023,20-02-2024,35,0.04,147.024
B2B000097,D0068,P0037,25-08-2023,49,0.09,144.9266
B2B000098,D0009,P0004,15-04-2024,95,0.01,300.3066
B2B000099,D0021,P0041,05-10-2023,92,0.01,69.102
B2B000100,D0052,P0033,03-05-2024,41,0.05,39.786
B2B000101,D0066,P0021,17-03-2024,95,0.04,297.4176
B2B000102,D0024,P0026,13-03-2024,54,0.04,378.9504
B2B000103,D0073,P0020,16-02-2024,39,0.16,128.268
B2B000104,D0018,P0021,02-07-2024,14,0.17,257.1423
B2B000105,D0037,P0011,11-02-2024,75,0.1,18.081
B2B000106,D0034,P0019,26-01-2024,97,0.16,186.186
B2B000107,D0086,P0009,06-04-2023,85,0.06,286.277
B2B000108,D0088,P0018,27-08-2023,16,0.17,221.7179
B2B000109,D0096,P0041,01-08-2023,59,0.04,67.008
B2B000110,D0020,P0018,02-05-2024,12,0.08,245.7596
B2B000111,D0010,P0016,17-09-2023,51,0.19,80.8947
B2B000112,D0033,P0019,06-07-2023,67,0.08,203.918
B2B000113,D0036,P0036,07-01-2023,24,0,406.11
B2B000114,D0005,P0019,04-06-2024,91,0.05,210.5675
B2B000115,D0077,P0001,22-10-2023,36,0.14,166.4272
B2B000116,D0060,P0036,06-04-2024,73,0.17,337.0713
B2B000117,D0084,P0004,22-04-2024,53,0.03,294.2398
B2B000118,D0046,P0044,06-12-2023,13,0.2,364.456
B2B000119,D0027,P0030,25-01-2024,49,0.01,32.4324
B2B000120,D0022,P0011,07-01-2023,63,0.03,19.4873
B2B000121,D0092,P0011,08-01-2023,84,0.08,18.4828
B2B000122,D0089,P0049,07-03-2023,46,0,277.89
B2B000123,D0091,P0022,18-09-2023,94,0.16,65.814
B2B000124,D0038,P0049,09-03-2023,87,0.04,266.7744
B2B000125,D0077,P0028,16-06-2023,77,0.05,248.8715
B2B000126,D0054,P0013,10-01-2023,84,0.17,346.857
B2B000127,D0065,P0016,30-03-2023,83,0.14,85.8882
B2B000128,D0008,P0023,25-05-2023,37,0.08,140.898
B2B000129,D0078,P0023,18-06-2023,35,0.16,128.646
B2B000130,D0090,P0009,10-03-2024,53,0.09,277.1405
B2B000131,D0042,P0011,30-12-2023,65,0.19,16.2729
B2B000132,D0014,P0013,27-04-2023,67,0.12,367.752
B2B000133,D0070,P0048,06-05-2024,33,0.07,246.2919
B2B000133,D0070,P0048,06-05-2024,33,0.07,246.2919
B2B000134,D0036,P0011,22-07-2023,47,0.06,18.8846
B2B000135,D0021,P0027,14-01-2024,41,0.17,89.5072
B2B000136,D0062,P0009,14-02-2024,24,0.07,283.2315
B2B000137,D0036,P0043,03-10-2023,60,0.11,23.8965
B2B000138,D0055,P0008,25-06-2023,10,0.14,373.6098
B2B000139,D0018,P0010,22-05-2024,35,0.03,346.2512
B2B000140,D0068,P0034,30-04-2024,60,0.07,441.7035
B2B000141,D0065,P0008,24-10-2023,13,0.02,425.7414
B2B000142,D0034,P0047,12-04-2024,36,0.09,148.0934
B2B000143,D0011,P0006,22-01-2023,50,0,86.44
B2B000144,D0063,P0046,25-01-2024,29,0.09,304.5224
B2B000145,D0058,P0017,15-02-2023,36,0.09,144.7628
B2B000146,D0048,P0022,24-03-2023,88,0.13,68.1645
B2B000147,D0039,P0004,18-05-2023,17,0.14,260.8724
B2B000148,D0090,P0013,19-10-2023,10,0.03,405.363
B2B000149,D0026,P0021,06-03-2023,63,0.14,266.4366
B2B000150,D0054,P0001,16-06-2024,31,0.15,164.492
B2B000151,D0032,P0018,13-03-2023,68,0.08,245.7596
B2B000152,D0013,P0042,15-07-2023,70,0.19,204.6384
B2B000153,D0004,P0010,30-08-2023,68,0.18,292.7072
B2B000154,D0022,P0007,02-10-2023,63,0.1,34.614
B2B000155,D0066,P0049,25-06-2023,86,0.04,266.7744
B2B000156,D0003,P0018,07-06-2024,51,0.09,243.0883
B2B000157,D0047,P0039,17-05-2023,68,0.19,279.6687
B2B000158,D0013,P0004,14-04-2023,68,0.09,276.0394
B2B000159,D0095,P0046,25-05-2024,28,0.17,277.7512
B2B000160,D0010,P0011,30-04-2024,58,0.08,18.4828
B2B000161,D0087,P0012,04-10-2023,77,0.11,431.8814
B2B000162,D0070,P0023,24-03-2023,92,0.05,145.4925
B2B000163,D0055,P0027,03-01-2023,11,0.09,98.1344
B2B000164,D0045,P0038,31-05-2024,90,0.18,47.4452
B2B000165,D0011,P0043,10-02-2024,32,0.19,21.7485
B2B000166,D0007,P0036,25-03-2023,13,0.06,381.7434
B2B000167,D0018,P0003,16-08-2023,50,0.1,331.812
B2B000168,D0003,P0045,18-10-2023,78,0.13,119.016
B2B000169,D0013,P0013,21-01-2024,88,0.09,380.289
B2B000170,D0042,P0027,16-01-2024,81,0.03,104.6048
B2B000171,D0014,P0027,13-02-2024,62,0.06,101.3696
B2B000172,D0080,P0039,09-01-2024,24,0.13,300.3849
B2B000173,D0046,P0027,14-05-2023,86,0.19,87.3504
B2B000174,D0011,P0032,01-05-2023,89,0.04,89.8176
B2B000175,D0007,P0049,14-02-2024,89,0.1,250.101
B2B000176,D0034,P0007,29-12-2023,59,0.06,36.1524
B2B000177,D0049,P0037,10-05-2024,56,0.02,156.0748
B2B000178,D0021,P0027,23-06-2024,12,0.03,104.6048
B2B000179,D0049,P0008,12-09-2023,99,0.02,425.7414
B2B000180,D0065,P0003,12-01-2023,50,0.07,342.8724
B2B000181,D0094,P0010,20-01-2023,28,0.13,310.5552
B2B000182,D0048,P0009,20-10-2023,99,0.17,252.7765
B2B000183,D0087,P0031,25-02-2024,20,0.1,276.93
B2B000184,D0049,P0030,14-04-2024,48,0.1,29.484
B2B000185,D0060,P0049,25-03-2023,28,0.13,241.7643
B2B000186,D0080,P0027,18-11-2023,54,0.07,100.2912
B2B000187,D0043,P0034,18-06-2024,14,0.2,379.96
B2B000188,D0098,P0010,22-07-2023,37,0.15,303.416
B2B000189,D0076,P0027,10-05-2024,40,0.05,102.448
B2B000190,D0054,P0047,03-04-2024,36,0.19,131.8194
B2B000191,D0055,P0025,18-06-2023,44,0.17,193.7801
B2B000192,D0007,P0005,27-03-2023,75,0.05,82.1275
B2B000193,D0092,P0045,12-02-2024,77,0.13,119.016
B2B000194,D0072,P0020,07-01-2023,13,0.15,129.795
B2B000195,D0007,P0019,15-12-2023,95,0.17,183.9695
B2B000196,D0053,P0006,06-06-2023,54,0.13,75.2028
B2B000197,D0080,P0025,02-04-2024,77,0.08,214.7924
B2B000198,D0013,P0003,17-04-2023,84,0.18,302.3176
B2B000199,D0015,P0048,28-08-2023,19,0.1,238.347
B2B000200,D0041,P0033,22-04-2023,84,0.08,38.5296
B2B000201,D0085,P0042,23-01-2024,53,0.03,245.0608
B2B000202,D0007,P0039,03-06-2023,81,0.14,296.9322
B2B000203,D0017,P0002,27-06-2024,99,0.13,413.9895
B2B000204,D0013,P0043,18-01-2024,91,0.01,26.5815
B2B000205,D0020,P0013,05-05-2024,19,0.02,409.542
B2B000206,D0062,P0013,09-11-2023,86,0.1,376.11
B2B000207,D0085,P0002,02-02-2024,37,0.08,437.782
B2B000208,D0046,P0009,02-10-2023,19,0.15,258.8675
B2B000209,D0023,P0031,26-12-2023,63,0.09,280.007
B2B000210,D0020,P0031,29-10-2023,48,0.16,258.468
B2B000211,D0028,P0028,03-05-2024,98,0.05,248.8715
B2B000212,D0025,P0031,01-01-2023,66,0.05,292.315
B2B000213,D0003,P0001,05-01-2023,48,0.14,166.4272
B2B000214,D0046,P0048,30-10-2023,61,0.12,233.0504
B2B000215,D0061,P0017,06-04-2024,24,0.05,151.126
B2B000216,D0023,P0030,28-07-2023,33,0.1,29.484
B2B000217,D0022,P0040,19-02-2023,18,0.17,187.3061
B2B000218,D0023,P0013,15-04-2023,81,0.02,409.542
B2B000219,D0043,P0009,07-03-2024,23,0.17,252.7765
B2B000220,D0044,P0024,04-03-2023,20,0.09,172.4632
B2B000221,D0006,P0007,19-11-2023,16,0.03,37.3062
B2B000222,D0040,P0048,27-03-2023,72,0.03,256.8851
B2B000223,D0085,P0020,17-02-2023,78,0.05,145.065
B2B000224,D0081,P0041,17-04-2023,54,0.05,66.31
B2B000225,D0055,P0042,24-02-2024,49,0.19,204.6384
B2B000226,D0059,P0043,22-06-2023,64,0.11,23.8965
B2B000227,D0074,P0046,08-06-2024,82,0.13,291.1368
B2B000228,D0087,P0029,10-01-2024,92,0.06,282.2632
B2B000229,D0081,P0007,08-12-2023,41,0.17,31.9218
B2B000230,D0080,P0011,29-06-2024,84,0.06,18.8846
B2B000231,D0082,P0008,01-01-2024,92,0.02,425.7414
B2B000232,D0075,P0047,23-04-2024,37,0.15,138.329
B2B000233,D0005,P0009,24-01-2023,35,0.12,268.004
B2B000234,D0031,P0008,07-05-2024,58,0.08,399.6756
B2B000235,D0057,P0012,26-06-2024,88,0.08,446.4392
B2B000236,D0055,P0025,08-05-2023,70,0.06,219.4618
B2B000237,D0044,P0005,22-06-2024,64,0.07,80.3985
B2B000238,D0051,P0022,17-01-2023,95,0.07,72.8655
B2B000239,D0080,P0011,03-03-2023,74,0.09,18.2819
B2B000240,D0016,P0042,25-05-2023,17,0.09,229.9024
B2B000241,D0094,P0016,02-06-2024,40,0.16,83.8908
B2B000242,D0008,P0035,08-04-2024,71,0.11,430.0124
B2B000243,D0053,P0042,19-10-2023,29,0.1,227.376
B2B000244,D0009,P0023,14-10-2023,86,0.18,125.583
B2B000245,D0002,P0007,02-01-2023,62,0.14,33.0756
B2B000246,D0048,P0034,18-06-2024,15,0.16,398.958
B2B000247,D0084,P0005,23-11-2023,93,0.13,75.2115
B2B000248,D0047,P0019,28-11-2023,40,0.05,210.5675
B2B000249,D0059,P0026,25-04-2024,68,0.18,323.6868
B2B000250,D0045,P0003,02-02-2024,80,0.06,346.5592
B2B000251,D0012,P0002,22-06-2023,97,0.14,409.231
B2B000252,D0049,P0014,13-07-2023,30,0.07,106.0665
B2B000253,D0040,P0031,09-08-2023,38,0.12,270.776
B2B000254,D0084,P0015,15-02-2024,12,0.08,91.1628
B2B000255,D0076,P0022,13-05-2024,85,0.15,66.5975
B2B000256,D0095,P0044,22-04-2023,40,0.12,400.9016
B2B000257,D0064,P0016,12-03-2023,59,0.12,87.8856
B2B000258,D0079,P0010,04-05-2023,10,0.12,314.1248
B2B000259,D0079,P0018,09-11-2023,57,0.09,243.0883
B2B000260,D0072,P0041,11-07-2023,74,0.12,61.424
B2B000261,D0089,P0031,19-01-2024,49,0.12,270.776
B2B000262,D0062,P0044,20-03-2024,65,0.07,423.6801
B2B000263,D0047,P0007,15-03-2024,57,0.14,33.0756
B2B000264,D0065,P0039,15-10-2023,32,0.04,331.4592
B2B000265,D0090,P0045,24-10-2023,92,0.19,110.808
B2B000266,D0071,P0031,14-08-2023,36,0.03,298.469
B2B000267,D0054,P0017,24-03-2024,82,0.04,152.7168
B2B000268,D0024,P0012,24-09-2023,13,0.13,422.1762
B2B000269,D0017,P0028,15-04-2024,69,0.11,233.1533
B2B000270,D0075,P0036,16-11-2023,98,0.1,365.499
B2B000271,D0021,P0032,22-10-2023,93,0.11,83.2684
B2B000272,D0047,P0035,22-03-2024,63,0.16,405.8544
B2B000273,D0047,P0034,27-03-2023,89,0.15,403.7075
B2B000274,D0015,P0032,18-09-2023,94,0.01,92.6244
B2B000275,D0095,P0024,13-01-2023,58,0.03,183.8344
B2B000276,D0047,P0011,26-02-2023,76,0.03,19.4873
B2B000277,D0045,P0015,20-01-2024,28,0.05,94.1355
B2B000278,D0029,P0014,27-10-2023,55,0.12,100.364
B2B000279,D0036,P0020,30-01-2024,36,0.09,138.957
B2B000280,D0051,P0009,19-01-2024,67,0.11,271.0495
B2B000281,D0043,P0036,28-07-2023,78,0.12,357.3768
B2B000282,D0038,P0041,06-05-2023,72,0.06,65.612
B2B000283,D0057,P0041,08-09-2023,76,0.1,62.82
B2B000284,D0063,P0040,16-03-2024,87,0.16,189.5628
B2B000285,D0099,P0027,29-08-2023,12,0.06,101.3696
B2B000286,D0096,P0027,23-05-2024,95,0.18,88.4288
B2B000287,D0070,P0002,04-05-2023,85,0.2,380.68
B2B000288,D0008,P0040,14-10-2023,97,0.01,223.4133
B2B000289,D0029,P0008,04-11-2023,40,0.14,373.6098
B2B000290,D0041,P0003,08-09-2023,29,0.05,350.246
B2B000291,D0001,P0011,30-12-2023,60,0.17,16.6747
B2B000292,D0057,P0048,12-08-2023,55,0.11,235.6987
B2B000293,D0088,P0044,27-10-2023,20,0.06,428.2358
B2B000294,D0088,P0036,28-03-2024,80,0.17,337.0713
B2B000295,D0048,P0017,19-04-2023,73,0.07,147.9444
B2B000296,D0011,P0026,21-03-2024,55,0.08,363.1608
B2B000297,D0005,P0019,11-03-2023,35,0.04,212.784
B2B000298,D0072,P0040,28-10-2023,62,0.17,187.3061
B2B000299,D0023,P0040,06-05-2024,99,0.11,200.8463
B2B000300,D0051,P0018,22-05-2023,73,0.07,248.4309
B2B000301,D0078,P0034,20-07-2023,73,0.16,398.958
B2B000302,D0009,P0049,18-07-2023,20,0.03,269.5533
B2B000303,D0091,P0026,11-03-2024,78,0.03,382.8978
B2B000304,D0022,P0035,13-01-2023,34,0.13,420.3492
B2B000305,D0010,P0035,01-07-2023,20,0.01,478.3284
B2B000306,D0013,P0023,22-04-2024,37,0.09,139.3665
B2B000307,D0093,P0032,30-11-2023,82,0.16,78.5904
B2B000308,D0100,P0029,08-03-2023,83,0.18,246.2296
B2B000309,D0073,P0023,31-01-2024,25,0.08,140.898
B2B000310,D0015,P0041,17-04-2024,72,0.03,67.706
B2B000311,D0054,P0007,05-05-2023,38,0.08,35.3832
B2B000312,D0031,P0040,19-03-2023,41,0.06,212.1298
B2B000313,D0011,P0004,21-03-2024,45,0.07,282.1062
B2B000314,D0078,P0048,24-02-2024,93,0.1,238.347
B2B000315,D0022,P0021,06-04-2024,15,0.17,257.1423
B2B000316,D0047,P0038,19-09-2023,67,0.06,54.3884
B2B000317,D0051,P0015,06-08-2023,11,0.07,92.1537
B2B000318,D0002,P0003,27-09-2023,78,0.13,320.7516
B2B000319,D0032,P0007,09-09-2023,16,0.11,34.2294
B2B000320,D0016,P0018,30-09-2023,71,0.01,264.4587
B2B000321,D0081,P0036,03-03-2023,23,0.01,402.0489
B2B000322,D0066,P0042,29-03-2023,21,0.06,237.4816
B2B000323,D0076,P0046,21-01-2024,24,0.15,284.444
B2B000324,D0041,P0029,17-01-2024,94,0.17,249.2324
B2B000325,D0098,P0037,15-02-2023,48,0.08,146.5192
B2B000326,D0016,P0025,01-05-2023,95,0.16,196.1148
B2B000327,D0026,P0024,21-07-2023,35,0.17,157.3016
B2B000328,D0033,P0021,04-05-2023,14,0.05,294.3195
B2B000329,D0053,P0011,04-05-2024,60,0.17,16.6747
B2B000330,D0084,P0036,14-01-2024,73,0.18,333.0102
B2B000331,D0068,P0030,11-04-2023,92,0.14,28.1736
B2B000332,D0005,P0009,09-07-2023,40,0.04,292.368
B2B000333,D0021,P0008,17-11-2023,35,0.2,347.544
B2B000334,D0038,P0048,01-03-2023,79,0.07,246.2919
B2B000335,D0091,P0016,30-05-2023,21,0.16,83.8908
B2B000336,D0017,P0027,16-09-2023,31,0.1,97.056
B2B000337,D0096,P0042,29-03-2023,90,0.01,250.1136
B2B000338,D0076,P0037,15-04-2023,37,0.07,148.1118
B2B000339,D0070,P0033,23-02-2023,13,0.04,40.2048
B2B000340,D0054,P0029,01-03-2023,61,0.2,240.224
B2B000341,D0082,P0009,30-04-2023,42,0.05,289.3225
B2B000342,D0020,P0005,13-04-2024,54,0.16,72.618
B2B000343,D0058,P0017,25-05-2023,27,0.17,132.0364
B2B000344,D0038,P0035,15-03-2024,42,0.15,410.686
B2B000345,D0021,P0015,18-12-2023,31,0.06,93.1446
B2B000346,D0052,P0014,05-01-2023,26,0.11,101.5045
B2B000347,D0028,P0042,02-10-2023,13,0.12,222.3232
B2B000348,D0021,P0031,20-11-2023,89,0.01,304.623
B2B000349,D0072,P0023,08-03-2023,41,0.18,125.583
B2B000350,D0007,P0023,15-01-2023,89,0.02,150.087
B2B000351,D0051,P0037,25-08-2023,48,0.05,151.297
B2B000352,D0087,P0017,14-05-2023,32,0.03,154.3076
B2B000353,D0043,P0040,21-10-2023,59,0.09,205.3597
B2B000354,D0011,P0004,01-07-2023,69,0.1,273.006
B2B000355,D0014,P0009,29-05-2024,43,0.18,249.731
B2B000356,D0035,P0023,09-08-2023,88,0.19,124.0515
B2B000357,D0005,P0006,11-01-2024,62,0.13,75.2028
B2B000358,D0079,P0036,28-02-2024,18,0.03,393.9267
B2B000359,D0048,P0050,11-06-2024,74,0.03,97.5626
B2B000360,D0051,P0042,17-06-2024,44,0.15,214.744
B2B000361,D0045,P0023,01-02-2024,32,0.03,148.5555
B2B000362,D0091,P0022,02-01-2024,49,0.12,68.948
B2B000363,D0064,P0029,11-01-2023,71,0.11,267.2492
B2B000364,D0010,P0044,29-01-2023,17,0.12,400.9016
B2B000365,D0060,P0047,02-07-2024,65,0.06,152.9756
B2B000366,D0003,P0036,24-01-2024,20,0.13,353.3157
B2B000367,D0015,P0040,05-10-2023,67,0.01,223.4133
B2B000368,D0020,P0018,29-05-2024,85,0.08,245.7596
B2B000369,D0015,P0022,14-03-2024,85,0.15,66.5975
B2B000370,D0052,P0023,06-11-2023,98,0.04,147.024
B2B000371,D0072,P0036,27-11-2023,36,0.04,389.8656
B2B000372,D0086,P0024,26-03-2024,58,0.15,161.092
B2B000373,D0064,P0023,20-04-2023,90,0.04,147.024
B2B000374,D0082,P0033,06-05-2024,87,0.1,37.692
B2B000375,D0060,P0029,02-03-2023,64,0.17,249.2324
B2B000376,D0045,P0035,11-06-2024,10,0.19,391.3596
B2B000377,D0052,P0022,01-01-2024,71,0.19,63.4635
B2B000378,D0067,P0014,07-02-2023,49,0.15,96.9425
B2B000379,D0058,P0014,26-04-2024,45,0.15,96.9425
B2B000380,D0036,P0002,25-11-2023,41,0.14,409.231
B2B000381,D0082,P0016,27-12-2023,87,0.18,81.8934
B2B000382,D0062,P0024,14-09-2023,52,0.16,159.1968
B2B000383,D0094,P0024,26-03-2024,23,0.08,174.3584
B2B000384,D0082,P0015,18-04-2024,39,0.16,83.2356
B2B000385,D0059,P0021,29-07-2023,14,0.19,250.9461
B2B000386,D0084,P0044,09-05-2023,11,0.01,451.0143
B2B000387,D0096,P0031,03-08-2023,48,0.11,273.853
B2B000388,D0100,P0001,04-05-2023,62,0.03,187.7144
B2B000389,D0021,P0034,13-06-2024,90,0.05,451.2025
B2B000390,D0047,P0040,01-11-2023,73,0.03,218.8999
B2B000391,D0018,P0004,06-06-2024,12,0.02,297.2732
B2B000392,D0045,P0008,12-10-2023,74,0.05,412.7085
B2B000393,D0041,P0006,20-05-2024,39,0.13,75.2028
B2B000394,D0056,P0025,24-09-2023,70,0.09,212.4577
B2B000395,D0053,P0030,21-08-2023,55,0.15,27.846
B2B000396,D0099,P0034,20-09-2023,55,0.14,408.457
B2B000397,D0028,P0032,01-02-2024,47,0.03,90.7532
B2B000398,D0029,P0035,06-03-2024,53,0.01,478.3284
B2B000399,D0030,P0005,13-03-2024,60,0.02,84.721
B2B000400,D0082,P0027,25-09-2023,64,0.09,98.1344
B2B000401,D0003,P0034,26-10-2023,92,0.17,394.2085
B2B000402,D0020,P0004,22-04-2024,29,0.09,276.0394
B2B000403,D0022,P0017,01-04-2024,65,0.12,139.9904
B2B000404,D0063,P0036,11-10-2023,92,0.06,381.7434
B2B000405,D0012,P0034,11-10-2023,59,0.07,441.7035
B2B000406,D0098,P0048,24-11-2023,96,0.09,240.9953
B2B000407,D0028,P0007,17-09-2023,93,0.04,36.9216
B2B000408,D0072,P0025,07-01-2023,60,0.01,231.1353
B2B000409,D0086,P0034,05-11-2023,11,0.07,441.7035
B2B000410,D0022,P0002,28-07-2023,19,0.02,466.333
B2B000411,D0043,P0048,27-02-2024,64,0.08,243.6436
B2B000412,D0028,P0042,27-05-2023,36,0.07,234.9552
B2B000413,D0075,P0008,12-06-2024,39,0.19,351.8883
B2B000414,D0047,P0001,27-03-2024,82,0.14,166.4272
B2B000415,D0058,P0030,03-04-2024,39,0.14,28.1736
B2B000416,D0018,P0006,22-01-2024,38,0.18,70.8808
B2B000417,D0075,P0040,28-03-2023,91,0.2,180.536
B2B000418,D0014,P0024,23-09-2023,87,0.09,172.4632
B2B000419,D0055,P0048,27-02-2023,93,0.09,240.9953
B2B000420,D0013,P0049,18-05-2023,90,0.1,250.101
B2B000421,D0057,P0050,26-04-2023,21,0.13,87.5046
B2B000422,D0029,P0029,28-04-2024,29,0.15,255.238
B2B000423,D0002,P0012,19-08-2023,11,0.03,470.7022
B2B000424,D0091,P0037,14-12-2023,17,0.2,127.408
B2B000425,D0063,P0020,14-10-2023,43,0.01,151.173
B2B000426,D0009,P0043,01-09-2023,56,0.09,24.4335
B2B000427,D0060,P0042,25-01-2023,40,0.08,232.4288
B2B000428,D0035,P0036,09-02-2024,63,0.15,345.1935
B2B000429,D0014,P0015,15-09-2023,63,0.15,84.2265
B2B000430,D0024,P0027,21-01-2023,32,0.17,89.5072
B2B000431,D0017,P0027,19-04-2023,13,0.14,92.7424
B2B000432,D0061,P0042,11-12-2023,46,0,252.64
B2B000433,D0059,P0029,28-11-2023,76,0.14,258.2408
B2B000434,D0026,P0040,13-06-2023,61,0.16,189.5628
B2B000435,D0023,P0036,22-07-2023,63,0.13,353.3157
